True Values,Predicted Values,Difference
0.5575,0.5615234375,-0.0040234375000000044
0.52,0.5615234375,-0.04152343749999998
0.5241,0.5615234375,-0.03742343749999999
0.5489,0.5615234375,-0.012623437499999945
0.5505,0.5615234375,-0.01102343750000001
0.6311,0.5615234375,0.0695765625
0.5241,0.5615234375,-0.03742343749999999
0.5795,0.5615234375,0.017976562500000015
0.579,0.5615234375,0.01747656249999996
0.5592,0.5615234375,-0.0023234374999999696
0.5276,0.5615234375,-0.03392343750000004
0.6313,0.5615234375,0.06977656249999997
0.6106,0.5615234375,0.04907656250000003
0.562,0.5615234375,0.00047656250000005507
0.562,0.5615234375,0.00047656250000005507
0.546,0.5615234375,-0.01552343749999996
0.6388,0.5615234375,0.07727656250000003
0.5767,0.5615234375,0.01517656249999999
0.652,0.5615234375,0.09047656250000002
0.6115,0.5615234375,0.049976562500000044
0.5738,0.5615234375,0.012276562499999977
0.5628,0.5615234375,0.001276562499999967
0.5795,0.5615234375,0.017976562500000015
0.5894,0.5615234375,0.027876562500000035
0.573,0.5615234375,0.011476562499999954
0.5767,0.5615234375,0.01517656249999999
0.5353,0.5615234375,-0.026223437500000002
0.603,0.5615234375,0.04147656249999998
0.5505,0.5615234375,-0.01102343750000001
0.6317,0.5615234375,0.07017656250000004
0.5544,0.5615234375,-0.007123437499999996
0.6106,0.5615234375,0.04907656250000003
0.5725,0.5615234375,0.010976562500000009
0.5767,0.5615234375,0.01517656249999999
0.5276,0.5615234375,-0.03392343750000004
0.579,0.5615234375,0.01747656249999996
0.5572,0.5615234375,-0.004323437499999971
0.546,0.5615234375,-0.01552343749999996
0.555,0.5615234375,-0.006523437499999951
0.5438,0.5615234375,-0.01772343750000005
0.5353,0.5615234375,-0.026223437500000002
0.5489,0.5615234375,-0.012623437499999945
0.52,0.5615234375,-0.04152343749999998
0.5725,0.5615234375,0.010976562500000009
0.5544,0.5615234375,-0.007123437499999996
0.568,0.5615234375,0.006476562499999949
0.5276,0.5615234375,-0.03392343750000004
0.5241,0.5615234375,-0.03742343749999999
0.573,0.5615234375,0.011476562499999954
0.6313,0.5615234375,0.06977656249999997
0.5692,0.5615234375,0.007676562500000039
0.5725,0.5615234375,0.010976562500000009
0.643,0.5615234375,0.08147656250000002
0.5592,0.5615234375,-0.0023234374999999696
0.5894,0.5615234375,0.027876562500000035
0.6108,0.5615234375,0.04927656250000001
0.5738,0.5615234375,0.012276562499999977
0.5628,0.5615234375,0.001276562499999967
0.6311,0.5615234375,0.0695765625
0.5376,0.5615234375,-0.023923437500000033
0.6313,0.5615234375,0.06977656249999997
0.555,0.5615234375,-0.006523437499999951
0.555,0.5615234375,-0.006523437499999951
0.5439,0.5615234375,-0.01762343749999995
